Date Issue,Location,Comment,License Plate,Type,Ticket #
01/02/2024 10:39 AM,BUCKEYE LOT,METERS ENFORCED 24 HOURS DAILY.,RM8723,001 EXPIRED METER (MUN. LOT),24P0200001
01/02/2024 10:44 AM,GILMAN ST,METERS ENFORCED 8AM-6PM MON-SAT,257SCW,009 EXPIRED METER (ON STREET),24P0200002
01/02/2024 10:49 AM,GORHAM ST,METERS ENFORCED 8AM-6PM MON-SAT,DG76084,009 EXPIRED METER (ON STREET),24P0200003
01/02/2024 10:59 AM,GILMAN ST,METERS ENFORCED 8AM-6PM MON-SAT,260TVN,009 EXPIRED METER (ON STREET),24P0200004
01/02/2024 11:04 AM,FRANCES ST,METERS ENFORCED 8AM-6PM MON-SAT,AVS8761,009 EXPIRED METER (ON STREET),24P0200005
01/02/2024 11:05 AM,FRANCES ST,METERS ENFORCED 8AM-6PM MON-SAT,LLEP84,009 EXPIRED METER (ON STREET),24P0200006
01/02/2024 11:14 AM,FRANCES ST,METERS ENFORCED 8AM-6PM MON-SAT,EVPZ94,009 EXPIRED METER (ON STREET),24P0200007
01/02/2024 11:16 AM,FRANCES ST,METERS ENFORCED 8AM-6PM MON-SAT,ABE1842,009 EXPIRED METER (ON STREET),24P0200008
01/02/2024 11:21 AM,LAKE ST,METERS ENFORCED 8AM-6PM MON-SAT,ATV1199,009 EXPIRED METER (ON STREET),24P0200009
01/02/2024 11:22 AM,LAKE ST,METERS ENFORCED 8AM-6PM MON-SAT,971NDK,009 EXPIRED METER (ON STREET),24P0200010
01/02/2024 11:24 AM,LAKE ST,METERS ENFORCED 8AM-6PM MON-SAT,413RYY,009 EXPIRED METER (ON STREET),24P0200011
01/02/2024 11:31 AM,LANGDON ST,METERS ENFORCED 8AM-6PM MON-SAT,AUM8201,009 EXPIRED METER (ON STREET),24P0200012
01/02/2024 11:37 AM,LANGDON ST,METERS ENFORCED 8AM-6PM MON-SAT,AUG5924,009 EXPIRED METER (ON STREET),24P0200013
01/02/2024 12:44 PM,HENRY ST,METERS ENFORCED 8AM-6PM MON-SAT,IDR143,009 EXPIRED METER (ON STREET),24P0200014
01/02/2024 12:46 PM,GORHAM ST,METERS ENFORCED 8AM-6PM MON-SAT,AHY1683,009 EXPIRED METER (ON STREET),24P0200015
01/02/2024 12:50 PM,BUCKEYE LOT,METERS ENFORCED 24 HOURS DAILY.,AFU9696,001 EXPIRED METER (MUN. LOT),24P0200016
01/02/2024 12:54 PM,GILMAN ST,METERS ENFORCED 8AM-6PM MON-SAT,ARV1785,009 EXPIRED METER (ON STREET),24P0200017
01/02/2024 12:55 PM,GILMAN ST,METERS ENFORCED 8AM-6PM MON-SAT,CRBN38,009 EXPIRED METER (ON STREET),24P0200018
01/02/2024 12:56 PM,GILMAN ST,METERS ENFORCED 8AM-6PM MON-SAT,AVE5211,009 EXPIRED METER (ON STREET),24P0200019
01/02/2024 12:58 PM,GILMAN ST,METERS ENFORCED 8AM-6PM MON-SAT,ARB1593,009 EXPIRED METER (ON STREET),24P0200020
01/02/2024 01:02 PM,GORHAM ST,LIMIT 2 HOURS,DG76084,010 OVER TIME LIMIT AT SAME METER,24P0200021
01/02/2024 01:05 PM,GORHAM ST,METERS ENFORCED 8AM-6PM MON-SAT,ADR8372,009 EXPIRED METER (ON STREET),24P0200022
01/02/2024 01:12 PM,GILMAN ST,METERS ENFORCED 8AM-6PM MON-SAT,ATB1887,009 EXPIRED METER (ON STREET),24P0200023
01/02/2024 01:13 PM,GILMAN ST,METERS ENFORCED 8AM-6PM MON-SAT,ACU8918,009 EXPIRED METER (ON STREET),24P0200024
01/02/2024 01:16 PM,GILMAN ST,METERS ENFORCED 8AM-6PM MON-SAT,WIBAJRZ,009 EXPIRED METER (ON STREET),24P0200025
01/02/2024 01:21 PM,FRANCES ST,METERS ENFORCED 8AM-6PM MON-SAT,TJ4186,009 EXPIRED METER (ON STREET),24P0200026
01/02/2024 01:25 PM,FRANCES ST,TRUCK LOADING ONLY 6:00 A.M. TO 6:00 P.M.,AUB4677,088 TRUCK LOADING ZONE-REGISTERED TRUCKS ONLY,24P0200027
01/02/2024 01:32 PM,FRANCES ST,METERS ENFORCED 8AM-6PM MON-SAT,AGU4606,009 EXPIRED METER (ON STREET),24P0200028
01/02/2024 01:42 PM,FRANCES ST,24-HOUR TRUCK LOADING ZONE,ATC7639,088 TRUCK LOADING ZONE-REGISTERED TRUCKS ONLY,24P0200029
01/02/2024 01:45 PM,LANGDON ST,METERS ENFORCED 8AM-6PM MON-SAT,AND9405,009 EXPIRED METER (ON STREET),24P0200030
