Date Issue,Location,Comment,License Plate,Type,Ticket #
01/04/2024 12:56 AM,MILWAUKEE STREET,16 - NO DIS PERMIT VISIBLE IN VEH,AHU9230,016 DISABLED PARKING VIOLATION,24P0500001
01/04/2024 02:18 AM,NOVICK DRIVE,PARKED ON ODD SIDE,W7622B,149 149-ALT SIDE PKG 1A-7A,24P0500002
01/04/2024 02:26 AM,ALPINE RD,PARKED ON ODD SIDE,AUY4991,149 149-ALT SIDE PKG 1A-7A,24P0500003
01/04/2024 02:42 AM,MARCY RD,PARKED ON ODD SIDE,ATC7625,149 149-ALT SIDE PKG 1A-7A,24P0500004
01/04/2024 02:56 AM,MARCY RD,PARKED ON ODD SIDE,362VZT,149 149-ALT SIDE PKG 1A-7A,24P0500005
01/04/2024 03:05 AM,MARCY RD,PARKED ON ODD SIDE,381WHY,149 149-ALT SIDE PKG 1A-7A,24P0500006
01/04/2024 03:08 AM,MARCY RD,PARKED ON ODD SIDE,JESUS1,149 149-ALT SIDE PKG 1A-7A,24P0500007
01/04/2024 03:14 AM,HINTZE RD,PARKED ON ODD SIDE,AEX2897,149 149-ALT SIDE PKG 1A-7A,24P0500008
01/04/2024 03:18 AM,HINTZE RD,PARKED ON ODD SIDE,AEX2897,050 UNREG.VEH/IMPROPER DISPLAY,24P0500009
01/04/2024 03:19 AM,HINTZE RD,VALID REGISTRATION REQUIRED ON CITY OF MADISON STREETS,AEX2897,050 UNREG.VEH/IMPROPER DISPLAY,24P0500010
01/04/2024 03:37 AM,KARSTENS DR,VALID REGISTRATION REQUIRED ON CITY OF MADISON STREETS,AUK5285,149 149-ALT SIDE PKG 1A-7A,24P0500011
01/04/2024 03:37 AM,KARSTENS DR,PARKED ON ODD SIDE,AUK5285,149 149-ALT SIDE PKG 1A-7A,24P0500012
01/04/2024 03:40 AM,KARSTENS DR,PARKED ON ODD SIDE,ARE3554,149 149-ALT SIDE PKG 1A-7A,24P0500013
01/04/2024 03:42 AM,KARSTENS DR,PARKED ON ODD SIDE,ADM4937,149 149-ALT SIDE PKG 1A-7A,24P0500014
01/04/2024 03:46 AM,KARSTENS DR,PARKED ON ODD SIDE,AEJ4613,149 149-ALT SIDE PKG 1A-7A,24P0500015
01/04/2024 03:52 AM,KARSTENS DR,PARKED ON ODD SIDE,597BGZ,149 149-ALT SIDE PKG 1A-7A,24P0500016
01/04/2024 03:53 AM,KARSTENS DR,PARKED ON ODD SIDE,ARC6481,149 149-ALT SIDE PKG 1A-7A,24P0500017
01/04/2024 03:56 AM,KARSTENS DR,PARKED ON ODD SIDE,ARC6481,050 UNREG.VEH/IMPROPER DISPLAY,24P0500018
01/04/2024 03:57 AM,KARSTENS DR,VALID REGISTRATION REQUIRED ON CITY OF MADISON STREET,ARC6481,050 UNREG.VEH/IMPROPER DISPLAY,24P0500019
01/04/2024 04:01 AM,KARSTENS DR,PARKED ON ODD SIDE OF THE STREET,ALZ3348,149 149-ALT SIDE PKG 1A-7A,24P0500020
01/04/2024 04:04 AM,KARSTENS DR,PARKED ON ODD SIDE OF THE STREET,AUG6831,149 149-ALT SIDE PKG 1A-7A,24P0500021
01/04/2024 04:07 AM,KARSTENS DR,PARKED ON ODD SIDE OF THE STREET,005672A50,149 149-ALT SIDE PKG 1A-7A,24P0500022
01/04/2024 04:08 AM,KARSTENS DR,PARKED ON ODD SIDE OF THE STREET,ATU9382,149 149-ALT SIDE PKG 1A-7A,24P0500023
