Date Issue,Location,Comment,License Plate,Type,Ticket #,Tick_Num,Type #,Hour,DayOfWeek
2024-01-06 08:10:00,DOTY ST,METERS ENFORCED 8AM-6PM MON-SAT,ALP8720,009 EXPIRED METER (ON STREET),24P2900001,1,Meter,8,Saturday
2024-01-06 08:16:00,MAIN ST,METERS ENFORCED 8AM-6PM MON-SAT,AKP3915,009 EXPIRED METER (ON STREET),24P2900002,2,Meter,8,Saturday
2024-01-06 08:22:00,MAIN ST,METERS ENFORCED 8AM-6PM MON-SAT,MERIKA,009 EXPIRED METER (ON STREET),24P2900003,3,Meter,8,Saturday
2024-01-06 08:31:00,WASHINGTON AVE,METERS ENFORCED 8AM-6PM MON-SAT,Not Found,009 EXPIRED METER (ON STREET),24P2900004,4,Meter,8,Saturday
2024-01-06 08:40:00,MIFFLIN ST,METERS ENFORCED 8AM-6PM MON-SAT,AND3937,009 EXPIRED METER (ON STREET),24P2900005,5,Meter,8,Saturday
2024-01-06 08:43:00,MIFFLIN ST,METERS ENFORCED 8AM-6PM MON-SAT,446HXP,009 EXPIRED METER (ON STREET),24P2900006,6,Meter,8,Saturday
2024-01-06 08:46:00,BUTLER ST,METERS ENFORCED 8AM-6PM MON-SAT,AUX3662,009 EXPIRED METER (ON STREET),24P2900007,7,Meter,8,Saturday
2024-01-06 08:48:00,BUTLER ST,METERS ENFORCED 8AM-6PM MON-SAT,ALA2048,009 EXPIRED METER (ON STREET),24P2900008,8,Meter,8,Saturday
2024-01-06 08:51:00,BUTLER ST,METERS ENFORCED 8AM-6PM MON-SAT,AUP4807,009 EXPIRED METER (ON STREET),24P2900009,9,Meter,8,Saturday
2024-01-06 08:54:00,MIFFLIN ST,METERS ENFORCED 8AM-6PM MON-SAT,ASM6258,009 EXPIRED METER (ON STREET),24P2900010,10,Meter,8,Saturday
2024-01-06 09:01:00,MIFFLIN ST,METERS ENFORCED 8AM-6PM MON-SAT,AKR1491,009 EXPIRED METER (ON STREET),24P2900011,11,Meter,9,Saturday
2024-01-06 09:06:00,MIFFLIN ST,LIC PLATES SUSPENDED UNPAID CITATIONS,ANP5150,050 UNREG.VEH/IMPROPER DISPLAY,24P2900012,12,050,9,Saturday
2024-01-06 09:06:00,MIFFLIN ST,LIC PLATES SUSPENDED UNPAID CITATIONS,ANP5150,TOW TOW FEE,24P2900013,13,TOW,9,Saturday
