Date Issue,Location,Comment,License Plate,Type,Ticket #
01/02/2024 11:30 AM,PENNSYLVANIA AVE,APPROXIMATELY 5 FEET FROM CROSSWALK,AH7274,074 LESS 15' OF CROSSWALK,24P1800001
01/02/2024 01:09 PM,STRAUBEL ST,VEHICLE WAS CHALKED AND NOTED DECEMBER 29TH 2023 1:30 P.M.,AVL7030,004 STREET STORAGE(48 HR LIMIT),24P1800002
01/03/2024 09:11 AM,5TH STREET,NO PARKING 9:00 A.M. TO 4:30 P.M. ON SCHOOL DAYS,AGC2716,047 NO PARKING SPECIFIED TIMES,24P1800003
01/03/2024 10:24 AM,4TH STREET,60% IN VIOLATION,ATV2351,033 NO PARKING- YELLOW PAINT ON CURB,24P1800004
01/03/2024 12:31 PM,RIDGEWAY AVE,NO PARKING IN THIS CIRCLE,UJ3182,075 RESTRICTED BY SIGNS,24P1800005
01/03/2024 12:33 PM,RIDGEWAY AVE,NO PARKING IN THIS CIRCLE,ARY5457,075 RESTRICTED BY SIGNS,24P1800006
01/04/2024 10:52 AM,DAYTON ST,COMPLAINT PARTIAL IN YELLOW CURVE,TL3652,W033 WARNING - NO PARKING- YELLOW PAINT ON CURB,24P1800007
01/04/2024 11:08 AM,5TH STREET,NO PARKING 9:00 A.M. TO 4:30 P.M. ON SCHOOL DAYS,ACL3872,047 NO PARKING SPECIFIED TIMES,24P1800008
01/04/2024 11:09 AM,5TH STREET,NO PARKING 9:00 A.M. TO 4:30 P.M. ON SCHOOL DAYS,ACL3872,W047 WARNING - NO PARKING SPECIFIED TIMES,24P1800009
01/04/2024 01:04 PM,HAVEY RD,VEHICLES TIRES STEMMED JANUARY 2ND 2024 1:00 P.M.,Not Found,TOW TOW FEE,24P1800010
01/04/2024 01:04 PM,HAVEY RD,VEHICLES TIRES STEMMED JANUARY 2ND 2024 1:00 P.M.,Not Found,036 ABANDONMENT 48 HRS-PUB/PRIV,24P1800011
01/05/2024 08:33 AM,CALYPSO RD,SIGNS PROPERLY POSTED,AST9049,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P1800012
01/05/2024 12:33 PM,STRAUBEL ST,STREET STORAGE ISSUED JANUARY 2ND 2024 1:00 P.M.,Not Found,TOW TOW FEE,24P1800013
01/05/2024 12:33 PM,STRAUBEL ST,STREET STORAGE ISSUED JANUARY 2ND 2024 1:00 P.M.,Not Found,036 ABANDONMENT 48 HRS-PUB/PRIV,24P1800014
