Date Issue,Location,Comment,License Plate,Type,Ticket #,Tick_Num
01/02/2024 12:31 PM,GILMAN ST,TEST,Z,009 EXPIRED METER (ON STREET),24P0400001,1
01/02/2024 12:32 PM,GILMAN ST,TEST,Z,009 EXPIRED METER (ON STREET),24P0400002,2
01/02/2024 12:55 PM,FRANKLIN ST,AC6-202400001,W3777L,006 1 HR LIMIT DURING POSTED TIMES,24P0400003,3
01/02/2024 12:58 PM,FRANKLIN ST,AC6-202400002,AGC9271,006 1 HR LIMIT DURING POSTED TIMES,24P0400004,4
01/02/2024 01:05 PM,HANCOCK ST,AC6-202400003,Q491576,006 1 HR LIMIT DURING POSTED TIMES,24P0400005,5
01/02/2024 01:07 PM,HANCOCK ST,AC6-202400004,37806U,006 1 HR LIMIT DURING POSTED TIMES,24P0400006,6
01/02/2024 01:18 PM,FRANKLIN ST,AC6-202400005,ATZ6150,006 1 HR LIMIT DURING POSTED TIMES,24P0400007,7
01/02/2024 01:20 PM,FRANKLIN ST,AC6-202400006,ARE3810,006 1 HR LIMIT DURING POSTED TIMES,24P0400008,8
01/02/2024 01:23 PM,FRANKLIN ST,AC6-202400006,257RSV,006 1 HR LIMIT DURING POSTED TIMES,24P0400009,9
01/02/2024 01:25 PM,FRANKLIN ST,AC6-202400007,257RSV,006 1 HR LIMIT DURING POSTED TIMES,24P0400010,10
01/02/2024 01:29 PM,FRANKLIN ST,AC6-202400008,471DWC,006 1 HR LIMIT DURING POSTED TIMES,24P0400011,11
01/02/2024 01:33 PM,HANCOCK ST,AC6-202400009. RES PERMIT IN A NON RES PERMIT AREA.,AMX8417,005 2 HR LIMIT DURING POSTED TIMES,24P0400012,12
01/02/2024 01:37 PM,HANCOCK ST,AC6-202400010,ALZ6521,005 2 HR LIMIT DURING POSTED TIMES,24P0400013,13
01/02/2024 01:45 PM,HANCOCK ST,AC6-202400011,AMT4666,005 2 HR LIMIT DURING POSTED TIMES,24P0400014,14
01/02/2024 01:45 PM,HANCOCK ST,AC6-202400011,AMT4666,TOW TOW FEE,24P0400015,15
01/02/2024 01:56 PM,HANCOCK ST,AC6-202400011,AMT4666,TOW TOW FEE,24P0400016,16
01/02/2024 01:56 PM,HANCOCK ST,AC6-202400011,AMT4666,005 2 HR LIMIT DURING POSTED TIMES,24P0400017,17
01/02/2024 02:01 PM,HANCOCK ST,AC6-202400012,AAM2173,005 2 HR LIMIT DURING POSTED TIMES,24P0400018,18
01/02/2024 02:06 PM,MAIN ST,AC6-202400013,709KUN,006 1 HR LIMIT DURING POSTED TIMES,24P0400019,19
01/02/2024 02:15 PM,WASHINGTON AVE,AC6-202400014,ATJD97,005 2 HR LIMIT DURING POSTED TIMES,24P0400020,20
01/02/2024 02:17 PM,WASHINGTON AVE,"AC6-202400014. RES PERMIT AREA #2, IN A NON-RES PERMIT AREA",ATJD97,005 2 HR LIMIT DURING POSTED TIMES,24P0400021,21
01/09/2024 08:43 AM,SAINT JAMES CT,NO PARKING 8AM-NOON TUESDAYS,SW9056,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400022,22
01/09/2024 08:45 AM,SAINT JAMES CT,NO PARKING 8AM-NOON TUESDAYS,AJB1187,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400023,23
01/09/2024 08:47 AM,SAINT JAMES CT,NO PARKING 8AM-NOON TUESDAYS,892WBP,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400024,24
01/09/2024 08:49 AM,SAINT JAMES CT,NO PARKING 8AM-NOON TUESDAYS,DS82904,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400025,25
01/09/2024 08:57 AM,MOUND ST,NO PARKING 8AM-NOON TUESDAYS,ARU1630,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400026,26
01/09/2024 09:03 AM,MOUND ST,NO PARKING 8AM-NOON TUESDAYS,AKM3976,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400027,27
01/09/2024 09:12 AM,MILTON ST,NO PARKING 8AM-NOON TUESDAYS,SVN886,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400028,28
01/09/2024 09:13 AM,MILTON ST,NO PARKING 8AM-NOON TUESDAYS,NTM995,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400029,29
01/09/2024 09:14 AM,MILTON ST,NO PARKING 8AM-NOON TUESDAYS,NTM995,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400030,30
01/09/2024 09:16 AM,MILTON ST,NO PARKING 8AM-NOON TUESDAYS,AUF1948,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400031,31
01/09/2024 09:20 AM,DRAKE ST,NO PARKING 8AM-NOON TUESDAYS,ARL5659,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400032,32
01/09/2024 09:25 AM,DRAKE ST,NO PARKING 8AM-NOON TUESDAYS. X924,0AGBU6,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400033,33
01/09/2024 09:26 AM,DRAKE ST,NO PARKING 8AM-NOON TUESDAYS. X924,ABR9380,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400034,34
01/09/2024 09:37 AM,EMERALD ST,NO PARKING 8AM-NOON TUESDAYS.,316TVX,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400035,35
01/09/2024 09:38 AM,EMERALD ST,NO PARKING 8AM-NOON TUESDAYS.,AKE4095,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400036,36
01/09/2024 09:49 AM,EMERALD ST,NO PARKING 8AM-NOON TUESDAYS.,ZB8N9J,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400037,37
01/09/2024 09:51 AM,EMERALD ST,NO PARKING 8AM-NOON TUESDAYS.,AHR4302,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400038,38
01/09/2024 09:54 AM,EMERALD ST,NO PARKING 8AM-NOON TUESDAYS.,AAT4137,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400039,39
01/09/2024 10:28 AM,ERIN ST,NO PARKING 8AM-NOON TUESDAYS.,LW8158,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400040,40
01/09/2024 10:29 AM,ERIN ST,NO PARKING 8AM-NOON TUESDAYS.,AGE8479,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400041,41
01/09/2024 10:34 AM,ERIN ST,NO PARKING 8AM-NOON TUESDAYS.,W9212T,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400042,42
01/09/2024 10:35 AM,ERIN ST,NO PARKING 8AM-NOON TUESDAYS.,543YNR,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400043,43
01/09/2024 10:38 AM,ERIN ST,NO PARKING 8AM-NOON TUESDAYS.,AKZ9359,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400044,44
01/09/2024 10:46 AM,SPRING ST,NO PARKING 8AM-NOON TUESDAYS.,ACE5895,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400045,45
01/09/2024 10:48 AM,SPRING ST,NO PARKING 8AM-NOON TUESDAYS.,AEF4687,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400046,46
01/09/2024 10:50 AM,COLLEGE CT,NO PARKING 8AM-NOON TUESDAYS.,ADN8151,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400047,47
01/09/2024 10:52 AM,COLLEGE CT,NO PARKING 8AM-NOON TUESDAYS.,AHW4101,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400048,48
01/09/2024 10:54 AM,COLLEGE CT,NO PARKING 8AM-NOON TUESDAYS.,DAAS,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400049,49
01/09/2024 11:19 AM,DRAKE ST,NO PARKING 8AM-NOON TUESDAYS.,ADK9849,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400050,50
01/09/2024 11:20 AM,DRAKE ST,NO PARKING 10:30AM-2PM TUESDAYS.,ADK9849,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400051,51
01/09/2024 11:33 AM,LAKESIDE ST,NO PARKING 10:30AM-2PM TUESDAYS.,KYM9675,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400052,52
01/09/2024 11:35 AM,LAKESIDE ST,NO PARKING 10:30AM-2PM TUESDAYS.,AEP9142,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400053,53
01/09/2024 11:36 AM,LAKESIDE ST,NO PARKING 10:30AM-2PM TUESDAYS.,ARH5202,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400054,54
01/09/2024 11:51 AM,OLIN AVE,NO PARKING 10:30AM-2PM TUESDAYS.,KLINK22,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400055,55
01/09/2024 11:56 AM,VAN DEUSEN ST,NO PARKING 10:30AM-2PM TUESDAYS.,ANS3098,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400056,56
01/09/2024 11:57 AM,VAN DEUSEN ST,NO PARKING 10:30AM-2PM TUESDAYS.,822LHX,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400057,57
01/09/2024 11:59 AM,VAN DEUSEN ST,NO PARKING 10:30AM-2PM TUESDAYS.,900WDT,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400058,58
01/10/2024 01:07 AM,SPAIGHT ST,PARKED ON ODD SIDE OF STREET,ACTT90,TOW TOW FEE,24P0400059,59
01/10/2024 01:07 AM,SPAIGHT ST,PARKED ON ODD SIDE OF STREET,ACTT90,148 148 - SNOW EMERGENCY 1A-7A,24P0400060,60
