Date Issue,Location,Comment,License Plate,Type,Ticket #,Tick_Num
01/02/2024 08:59 AM,KENDALL AVE,NO PARKING 8AM-NOON TUESDAYS,319ZFR,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700001,1
01/02/2024 09:02 AM,KENDALL AVE,NO PARKING 8AM-NOON TUESDAYS,AHJ5435,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700002,2
01/02/2024 09:08 AM,KENDALL AVE,NO PARKING 8AM-NOON TUESDAYS,18803ER,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700003,3
01/02/2024 09:10 AM,KENDALL AVE,NO PARKING 8AM-NOON TUESDAYS,501STB,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700004,4
01/02/2024 09:12 AM,KENDALL AVE,NO PARKING 8AM-NOON TUESDAYS,DX54949,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700005,5
01/02/2024 09:15 AM,KENDALL AVE,NO PARKING 8AM-NOON TUESDAYS,AAP9478,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700006,6
01/02/2024 09:16 AM,KENDALL AVE,NO PARKING 8AM-NOON TUESDAYS,ANY7740,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700007,7
01/02/2024 09:19 AM,KENDALL AVE,NO PARKING 8AM-NOON TUESDAYS,AHA1534,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700008,8
01/02/2024 09:21 AM,KENDALL AVE,NO PARKING 8AM-NOON TUESDAYS,AP26283,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700009,9
01/02/2024 09:23 AM,KENDALL AVE,NO PARKING 8AM-NOON TUESDAYS,ANM3529,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700010,10
01/02/2024 09:26 AM,KENDALL AVE,NO PARKING 8AM-NOON TUESDAYS,3614721B,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700011,11
01/02/2024 09:31 AM,KENDALL AVE,NO PARKING 8AM-NOON TUESDAYS,ASL1857,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700012,12
01/02/2024 09:33 AM,KENDALL AVE,NO PARKING 8AM-NOON TUESDAYS,AUC3264,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700013,13
01/02/2024 09:35 AM,KENDALL AVE,NO PARKING 8AM-NOON TUESDAYS,465DBD,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700014,14
01/02/2024 09:38 AM,KENDALL AVE,NO PARKING 8AM-NOON TUESDAYS,956JSP,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700015,15
01/02/2024 09:40 AM,KENDALL AVE,NO PARKING 8AM-NOON TUESDAYS,156ZMM,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700016,16
01/02/2024 09:41 AM,KENDALL AVE,NO PARKING 8AM-NOON TUESDAYS,359KMK,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700017,17
01/02/2024 09:41 AM,KENDALL AVE,NO PARKING 8AM-NOON TUESDAYS,AGY3575,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700018,18
01/02/2024 09:56 AM,VAN HISE AVE,NO PARKING 8AM-NOON TUESDAYS,TK8942,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700019,19
01/02/2024 09:57 AM,VAN HISE AVE,NO PARKING 8AM-NOON TUESDAYS,LN6400,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700020,20
01/02/2024 10:00 AM,VAN HISE AVE,NO PARKING 8AM-NOON TUESDAYS,AUB7134,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700021,21
01/02/2024 10:02 AM,VAN HISE AVE,NO PARKING 8AM-NOON TUESDAYS,NTV156,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700022,22
01/02/2024 10:05 AM,HOYT ST,NO PARKING 8AM-NOON TUESDAYS,NLK845,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700023,23
01/02/2024 10:09 AM,CHADBOURNE AVE,NO PARKING 8AM-NOON TUESDAYS,ASV3826,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700024,24
01/02/2024 10:11 AM,CHADBOURNE AVE,NO PARKING 8AM-NOON TUESDAYS,ED57091,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700025,25
01/02/2024 10:15 AM,CHADBOURNE AVE,NO PARKING 8AM-NOON TUESDAYS,C8066858,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700026,26
01/02/2024 10:15 AM,CHADBOURNE AVE,NO PARKING 8AM-NOON TUESDAYS,973LEM,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1700027,27
