Date Issue,Location,Comment,License Plate,Type,Ticket #
01/02/2024 08:41 AM,CARRLOLL ST,METERS ENFORCED 8AM-6PM MON-SAT,ALH6134,009 EXPIRED METER (ON STREET),24P2800001
01/02/2024 09:35 AM,BROOM ST,METERS ENFORCED 8AM-6PM MON-SAT,ALM9350,009 EXPIRED METER (ON STREET),24P2800002
01/02/2024 09:38 AM,BROOM ST,METERS ENFORCED 8AM-6PM MON-SAT,ASL6110,009 EXPIRED METER (ON STREET),24P2800003
01/02/2024 10:00 AM,CARROLL ST,METERS ENFORCED 8AM-6PM MON-SAT,LN8427,009 EXPIRED METER (ON STREET),24P2800004
01/02/2024 10:32 AM,FAIRCHILD ST,METERS ENFORCED 8AM-6PM MON-SAT,ARE3236,009 EXPIRED METER (ON STREET),24P2800005
01/02/2024 10:59 AM,WASHINGTON AVE,METERS ENFORCED 8AM-6PM MON-SAT,NK7758,009 EXPIRED METER (ON STREET),24P2800006
01/02/2024 11:03 AM,FAIRCHILD ST,FREIGHT LOADING ZONE W/ARROW 8AM-6PM CHALKED LR GREEN @10:25AM. STILL VISIBLE,LH5887,068 LOADING ZONE,24P2800007
01/02/2024 11:17 AM,MARTIN LUTHER KING JR BLVD,METERS ENFORCED 8AM-6PM MON-SAT LIC PLATES NOT DISPLAYED,Not Found,009 EXPIRED METER (ON STREET),24P2800008
01/02/2024 11:17 AM,MARTIN LUTHER KING JR BLVD,METERS ENFORCED 8AM-6PM MON-SAT LIC PLATES NOT DISPLAYED,Not Found,050 UNREG.VEH/IMPROPER DISPLAY,24P2800009
01/02/2024 11:22 AM,WILSON ST,METERS ENFORCED 8AM-6PM MON-SAT,ATZ7658,009 EXPIRED METER (ON STREET),24P2800010
01/02/2024 12:17 PM,WASHINGTON AVE,METERS ENFORCED 8AM-6PM MON-SAT,LW5860,009 EXPIRED METER (ON STREET),24P2800011
01/02/2024 12:19 PM,WASHINGTON AVE,METERS ENFORCED 8AM-6PM MON-SAT,AJW1627,009 EXPIRED METER (ON STREET),24P2800012
01/02/2024 12:30 PM,MIFFLIN ST,METERS ENFORCED 8AM-6PM MON-SAT,NK4175,009 EXPIRED METER (ON STREET),24P2800013
01/02/2024 12:32 PM,MIFFLIN ST,METERS ENFORCED 8AM-6PM MON-SAT,AGE1220,009 EXPIRED METER (ON STREET),24P2800014
01/02/2024 12:38 PM,DAYTON ST,THIS METER ENFORCED 11AM-6PM TODAY,3149962,009 EXPIRED METER (ON STREET),24P2800015
01/02/2024 12:41 PM,DAYTON ST,THIS METER ENFORCED 11AM-6PM TODAY,3149962,009 EXPIRED METER (ON STREET),24P2800016
01/02/2024 01:02 PM,HENRY ST,METERS ENFORCED 8AM-6PM MON-SAT,AVC7281,009 EXPIRED METER (ON STREET),24P2800017
01/02/2024 01:18 PM,JOHNSON ST,THIS METER ENFORCED 9AM-3PM TODAY,AMK9494,009 EXPIRED METER (ON STREET),24P2800018
01/02/2024 01:24 PM,DAYTON ST,METERS ENFORCED 8AM-6PM MON-SAT,GD75045,009 EXPIRED METER (ON STREET),24P2800019
01/02/2024 01:26 PM,DAYTON ST,METERS ENFORCED 8AM-6PM MON-SAT,GD75045,009 EXPIRED METER (ON STREET),24P2800020
01/02/2024 01:31 PM,DAYTON ST,METERS ENFORCED 8AM-6PM MON-SAT,ACY5719,009 EXPIRED METER (ON STREET),24P2800021
01/02/2024 01:36 PM,STATE ST CAPITOL RAMP,METERS ENFORCED 24 HOURS DAILY.,535VCG,001 EXPIRED METER (MUN. LOT),24P2800022
01/02/2024 01:42 PM,DAYTON ST,METERS ENFORCED 8AM-6PM MON-SAT,AAS3206,009 EXPIRED METER (ON STREET),24P2800023
01/02/2024 01:56 PM,CARROLL ST,METERS ENFORCED 8AM-6PM MON-SAT,EVILDED,009 EXPIRED METER (ON STREET),24P2800024
01/02/2024 02:06 PM,CARROLL ST,METERS ENFORCED 8AM-6PM MON-SAT,245KMK,009 EXPIRED METER (ON STREET),24P2800025
01/02/2024 02:18 PM,CARROLL ST,METERS ENFORCED 8AM-6PM MON-SAT,AAL9985,009 EXPIRED METER (ON STREET),24P2800026
01/02/2024 02:20 PM,CARROLL ST,METERS ENFORCED 8AM-6PM MON-SAT,AUG6376,009 EXPIRED METER (ON STREET),24P2800027
01/02/2024 02:45 PM,HAMILTON ST,METERS ENFORCED 8AM-6PM MON-SAT,854MKC,009 EXPIRED METER (ON STREET),24P2800028
01/02/2024 02:54 PM,MAIN ST,METERS ENFORCED 8AM-6PM MON-SAT,995UFV,009 EXPIRED METER (ON STREET),24P2800029
01/02/2024 03:04 PM,CARROLL ST,METERS ENFORCED 8AM-6PM MON-SAT,PFP437,009 EXPIRED METER (ON STREET),24P2800030
01/02/2024 03:12 PM,MARTIN LUTHER KING JR BLVD,METERS ENFORCED 8AM-6PM MON-SAT,KZS4405,009 EXPIRED METER (ON STREET),24P2800031
01/03/2024 08:37 AM,WILSON ST,METERS ENFORCED 8AM-6PM MON-SAT,494LCG,009 EXPIRED METER (ON STREET),24P2800032
01/03/2024 08:43 AM,HAMILTON ST,METERS ENFORCED 8AM-6PM MON-SAT,AJZ5899,009 EXPIRED METER (ON STREET),24P2800033
01/03/2024 08:47 AM,DOTY ST,METERS ENFORCED 8AM-6PM MON-SAT,ALA7211,009 EXPIRED METER (ON STREET),24P2800034
01/03/2024 08:53 AM,MAIN ST,METERS ENFORCED 8AM-6PM MON-SAT,9107285,009 EXPIRED METER (ON STREET),24P2800035
01/03/2024 08:55 AM,MAIN ST,METERS ENFORCED 8AM-6PM MON-SAT,AAT4362,009 EXPIRED METER (ON STREET),24P2800036
01/03/2024 09:01 AM,WASHINGTON AVE,METERS ENFORCED 8AM-6PM MON-SAT,AJC7140,009 EXPIRED METER (ON STREET),24P2800037
