Date Issue,Location,Comment,License Plate,Type,Ticket #
01/02/2024 08:13 AM,ASPEN GROVE LN,CHALKED & NOTED ON 12/27 @6:35 PM CHALK VISIBLE VEHICLE SNOW COVERED,AGC2541,004 STREET STORAGE(48 HR LIMIT),24P1500001
01/02/2024 11:22 AM,ISLAND DR,EXPIRED REGISTRATION,ASB3034,050 UNREG.VEH/IMPROPER DISPLAY,24P1500002
01/02/2024 11:42 AM,MASTHEAD DR,EXPIRED REGISTRATION,Not Found,050 UNREG.VEH/IMPROPER DISPLAY,24P1500003
01/02/2024 01:34 PM,CAMERON DR,EXPIRED REGISTRATION,ANP8323,050 UNREG.VEH/IMPROPER DISPLAY,24P1500004
01/02/2024 02:04 PM,BRITTA DR,EXPIRED REGISTRATION,ALB6335,050 UNREG.VEH/IMPROPER DISPLAY,24P1500005
01/03/2024 07:36 AM,MILLS ST,NO PARKING 7:00 A.M. TO 6:00 P.M.,AUX5395,047 NO PARKING SPECIFIED TIMES,24P1500006
01/03/2024 08:32 AM,GILMAN ST,MONTH/YEAR STICKERS REQUIRED ON PLATE,AMF8862,W050 WARNING - UNREG.VEH/IMPROPER DISPLAY,24P1500007
01/03/2024 08:37 AM,GILMAN ST,EXPIRED REGISTRATION,AMX8341,W050 WARNING - UNREG.VEH/IMPROPER DISPLAY,24P1500008
01/03/2024 08:39 AM,GILMAN ST,EXPIRED REGISTRATION,AKV6861,050 UNREG.VEH/IMPROPER DISPLAY,24P1500009
01/03/2024 08:41 AM,GILMAN ST,EXPIRED REGISTRATION,AEP7501,050 UNREG.VEH/IMPROPER DISPLAY,24P1500010
01/03/2024 08:53 AM,GILMAN ST,MONTH/YEAR STICKERS REQUIRED ON PLATE,AAW9166,W050 WARNING - UNREG.VEH/IMPROPER DISPLAY,24P1500011
01/03/2024 09:11 AM,BUTLER ST,EXPIRED REGISTRATION,AMY3346,050 UNREG.VEH/IMPROPER DISPLAY,24P1500012
01/03/2024 09:14 AM,BUTLER ST,EXPIRED REGISTRATION,AMN2673,050 UNREG.VEH/IMPROPER DISPLAY,24P1500013
01/03/2024 09:44 AM,HANCOCK ST,MONTH/YEAR STICKERS REQUIRED ON PLATE,ACW1787,W050 WARNING - UNREG.VEH/IMPROPER DISPLAY,24P1500014
01/03/2024 09:49 AM,HANCOCK ST,MONTH/YEAR STICKERS REQUIRED ON PLATE/ EXPIRED 12/31/23,ALJ8165,W050 WARNING - UNREG.VEH/IMPROPER DISPLAY,24P1500015
01/03/2024 09:57 AM,FRANKLIN ST,MONTH/YEAR STICKERS REQUIRED ON PLATE/ EXPIRED 12/31/23,ALJ8165,W050 WARNING - UNREG.VEH/IMPROPER DISPLAY,24P1500016
01/03/2024 09:58 AM,FRANKLIN ST,MONTH/YEAR STICKERS REQUIRED ON PLATE,ACW1787,W050 WARNING - UNREG.VEH/IMPROPER DISPLAY,24P1500017
01/03/2024 10:05 AM,FRANKLIN ST,MONTH/YEAR STICKERS REQUIRED ON PLATE,AKF2210,W050 WARNING - UNREG.VEH/IMPROPER DISPLAY,24P1500018
01/03/2024 10:09 AM,FRANKLIN ST,EXPIRED REGISTRATION,APW8999,050 UNREG.VEH/IMPROPER DISPLAY,24P1500019
01/03/2024 10:13 AM,FRANKLIN ST,EXPIRED REGISTRATION,AAX8250,050 UNREG.VEH/IMPROPER DISPLAY,24P1500020
01/03/2024 10:23 AM,FRANKLIN ST,MONTH/YEAR STICKERS REQUIRED ON PLATE,ND1D2W,W050 WARNING - UNREG.VEH/IMPROPER DISPLAY,24P1500021
01/03/2024 11:10 AM,HANCOCK ST,MONTH/YEAR STICKERS REQUIRED ON PLATE,AGM5884,W050 WARNING - UNREG.VEH/IMPROPER DISPLAY,24P1500022
01/03/2024 11:36 AM,FRANKLIN ST,YELLOW CURB,ADM3876,033 NO PARKING- YELLOW PAINT ON CURB,24P1500023
01/03/2024 12:39 PM,GILMAN ST,2-HOUR PARKING 8:00 A.M. TO 6:00 P.M. EXCEPT SATURDAY SUNDAY AND CITY HOLIDAYS,AMF8862,005 2 HR LIMIT DURING POSTED TIMES,24P1500024
01/03/2024 12:47 PM,GILMAN ST,2-HOUR PARKING 8:00 A.M. TO 6:00 P.M. EXCEPT SATURDAY SUNDAY AND CITY HOLIDAYS/SCOFFLAW,AKV6861,005 2 HR LIMIT DURING POSTED TIMES,24P1500025
01/03/2024 12:47 PM,GILMAN ST,2-HOUR PARKING 8:00 A.M. TO 6:00 P.M. EXCEPT SATURDAY SUNDAY AND CITY HOLIDAYS/SCOFFLAW,AKV6861,TOW TOW FEE,24P1500026
01/03/2024 12:54 PM,GILMAN ST,2-HOUR PARKING 8:00 A.M. TO 6:00 P.M. EXCEPT SATURDAY SUNDAY AND CITY HOLIDAYS,AWE1901,005 2 HR LIMIT DURING POSTED TIMES,24P1500027
01/03/2024 01:16 PM,BUTLER ST,2-HOUR PARKING 8:00 A.M. TO 6:00 P.M. EXCEPT SATURDAY SUNDAY AND CITY HOLIDAYS,ASW7553,005 2 HR LIMIT DURING POSTED TIMES,24P1500028
01/03/2024 01:36 PM,FRANKLIN ST,EXPIRED REGISTRATION,AJP2051,050 UNREG.VEH/IMPROPER DISPLAY,24P1500029
01/03/2024 01:44 PM,FRANKLIN ST,2-HOUR PARKING 8 A.M. TO 6:00 P.M.,ACW1787,005 2 HR LIMIT DURING POSTED TIMES,24P1500030
01/03/2024 01:47 PM,FRANKLIN ST,2-HOUR PARKING 8 A.M. TO 6:00 P.M.,ARG4609,005 2 HR LIMIT DURING POSTED TIMES,24P1500031
01/03/2024 01:54 PM,FRANKLIN ST,2-HOUR PARKING 8 A.M. TO 6:00 P.M.,AVN5214,005 2 HR LIMIT DURING POSTED TIMES,24P1500032
01/03/2024 02:10 PM,HANCOCK ST,2-HOUR PARKING 8 A.M. TO 6:00 P.M.,AUJ7618,005 2 HR LIMIT DURING POSTED TIMES,24P1500033
01/03/2024 02:13 PM,HANCOCK ST,2-HOUR PARKING 8 A.M. TO 6:00 P.M.,446HXP,005 2 HR LIMIT DURING POSTED TIMES,24P1500034
01/03/2024 02:16 PM,HANCOCK ST,2-HOUR PARKING 8 A.M. TO 6:00 P.M.,APF7726,005 2 HR LIMIT DURING POSTED TIMES,24P1500035
01/04/2024 08:08 AM,PINCKNEY ST,NO PARKING 8:00 A.M. TO NOON THURSDAYS,967ZPC,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1500036
01/04/2024 08:13 AM,PINCKNEY ST,NO PARKING 8:00 A.M. TO NOON THURSDAYS,ATP7638,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1500037
01/04/2024 08:16 AM,PINCKNEY ST,NO PARKING 8:00 A.M. TO NOON THURSDAYS,115ZBF,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1500038
01/04/2024 08:18 AM,PINCKNEY ST,NO PARKING 8:00 A.M. TO NOON THURSDAYS,AHZ5235,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1500039
01/04/2024 08:24 AM,PINCKNEY ST,NO PARKING 8:00 A.M. TO NOON THURSDAYS,AMU3071,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1500040
01/04/2024 08:26 AM,PINCKNEY ST,NO PARKING 8:00 A.M. TO NOON THURSDAYS,AGB5403,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1500041
01/04/2024 08:28 AM,PINCKNEY ST,NO PARKING 8:00 A.M. TO NOON THURSDAYS,FZE584,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1500042
01/04/2024 08:30 AM,PINCKNEY ST,NO PARKING 8:00 A.M. TO NOON THURSDAYS,ANX4647,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1500043
01/04/2024 08:36 AM,PINCKNEY ST,NO PARKING 8:00 A.M. TO NOON THURSDAYS,ELM6423,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1500044
01/04/2024 08:39 AM,PINCKNEY ST,NO PARKING 8:00 A.M. TO NOON THURSDAYS,AWE1901,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1500045
01/04/2024 08:45 AM,PINCKNEY ST,NO PARKING 8:00 A.M. TO NOON THURSDAYS,ABJ3295,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1500046
01/04/2024 08:51 AM,GILMAN ST,NO PARKING 8:00 A.M. TO NOON THURSDAYS,AEP7501,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1500047
01/04/2024 08:56 AM,GILMAN ST,NO PARKING 8:00 A.M. TO NOON THURSDAYS,AUF1947,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1500048
01/04/2024 09:02 AM,BUTLER ST,NO PARKING 8:00 A.M. TO NOON THURSDAYS,AMN2673,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1500049
01/04/2024 09:33 AM,GILMAN ST,NO PARKING 9:00 A.M. TO NOON THURSDAYS,APY9279,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1500050
01/04/2024 09:40 AM,CARROLL ST,NO PARKING 9:00 A.M. TO NOON THURSDAYS,APC5326,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1500051
01/04/2024 10:18 AM,PINCKNEY ST,EXPIRED REGISTRATION,JJM,050 UNREG.VEH/IMPROPER DISPLAY,24P1500052
01/04/2024 10:48 AM,HENRY ST,MONTH/YEAR STICKERS REQUIRED ON PLATE AND MUST BE VISIBLE.,AAP3454,W050 WARNING - UNREG.VEH/IMPROPER DISPLAY,24P1500053
01/04/2024 11:10 AM,HENRY ST,EXPIRED REGISTRATION,ARY5488,050 UNREG.VEH/IMPROPER DISPLAY,24P1500054
01/04/2024 11:17 AM,CARROLL ST,EXPIRED REGISTRATION,ARY5488,050 UNREG.VEH/IMPROPER DISPLAY,24P1500055
01/04/2024 11:30 AM,LANGDON ST,LOADING ZONE 10 MINUTE TIME LIMIT WITH ARROW/ CHALKED 10:54 STILL VISIBL,407YZT,068 LOADING ZONE,24P1500056
01/04/2024 11:37 AM,GILMAN ST,NO PARKING 9:00 A.M. TO NOON THURSDAYS,UF6640,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1500057
01/04/2024 11:42 AM,GILMAN ST,NO PARKING 9:00 A.M. TO NOON THURSDAYS,AFG1349,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1500058
01/04/2024 11:50 AM,GILMAN ST,NO PARKING 9:00 A.M. TO NOON THURSDAYS,485WZL,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1500059
01/04/2024 11:58 AM,GILMAN ST,YELLOW CURB,ATV7637,033 NO PARKING- YELLOW PAINT ON CURB,24P1500060
01/04/2024 01:19 PM,DAYTON ST,MONTH/YEAR STICKERS REQUIRED ON PLATE,617XJR,W050 WARNING - UNREG.VEH/IMPROPER DISPLAY,24P1500061
01/04/2024 01:27 PM,LANGDON ST,2-HOUR PARKING 8:00 A.M. TO 6:00 P.M.,ABR8581,005 2 HR LIMIT DURING POSTED TIMES,24P1500062
01/04/2024 01:42 PM,LANGDON ST,2-HOUR PARKING 8:00 A.M. TO 6:00 P.M.,ATK8305,005 2 HR LIMIT DURING POSTED TIMES,24P1500063
01/04/2024 01:50 PM,HENRY ST,2-HOUR PARKING 8:00 A.M. TO 6:00 P.M.,UJM4407,005 2 HR LIMIT DURING POSTED TIMES,24P1500064
01/04/2024 01:53 PM,HENRY ST,2-HOUR PARKING 8:00 A.M. TO 6:00 P.M.,KHL001,005 2 HR LIMIT DURING POSTED TIMES,24P1500065
01/04/2024 02:03 PM,CARROLL ST,2-HOUR PARKING 8:00 A.M. TO 6:00 P.M.,ASA4070,005 2 HR LIMIT DURING POSTED TIMES,24P1500066
01/04/2024 02:07 PM,CARROLL ST,2-HOUR PARKING 8:00 A.M. TO 6:00 P.M.,AUK5388,005 2 HR LIMIT DURING POSTED TIMES,24P1500067
01/04/2024 02:13 PM,CARROLL ST,2-HOUR PARKING 8:00 A.M. TO 6:00 P.M.,ACY6234,005 2 HR LIMIT DURING POSTED TIMES,24P1500068
