Ticket #,Date Issue,Location,Type,Hour,Day
24P1800001,2024-01-02 11:30:00,PENNSYLVANIA AVE,074,11,Tuesday
24P1800002,2024-01-02 13:09:00,STRAUBEL ST,004,13,Tuesday
24P1800003,2024-01-03 09:11:00,5TH STREET,047,9,Wednesday
24P1800004,2024-01-03 10:24:00,4TH STREET,033,10,Wednesday
24P1800005,2024-01-03 12:31:00,RIDGEWAY AVE,075,12,Wednesday
24P1800006,2024-01-03 12:33:00,RIDGEWAY AVE,075,12,Wednesday
24P1800007,2024-01-04 10:52:00,DAYTON ST,W033,10,Thursday
24P1800008,2024-01-04 11:08:00,5TH STREET,047,11,Thursday
24P1800009,2024-01-04 11:09:00,5TH STREET,W047,11,Thursday
24P1800010,2024-01-04 13:04:00,HAVEY RD,TOW,13,Thursday
24P1800011,2024-01-04 13:04:00,HAVEY RD,036,13,Thursday
24P1800012,2024-01-05 08:33:00,CALYPSO RD,083,8,Friday
24P1800013,2024-01-05 12:33:00,STRAUBEL ST,TOW,12,Friday
24P1800014,2024-01-05 12:33:00,STRAUBEL ST,036,12,Friday
24P1800014,2024-01-05 12:33:00,STRAUBEL ST,036,12,Friday
24P1800014,2024-01-05 12:33:00,STRAUBEL ST,036,12,Friday
24P1800015,2024-05-20 11:24:00,BALTZELL ST,050,11,Monday
24P1800016,2024-05-21 09:46:00,REGENT ST,072,9,Tuesday
24P1800017,2024-05-21 09:46:00,REGENT ST,TOW,9,Tuesday
24P1800018,2024-05-21 11:58:00,REGENT ST,033,11,Tuesday
24P1800019,2024-05-22 09:19:00,SPOONER ST,075,9,Wednesday
24P1800019,2024-05-22 09:19:00,SPOONER ST,075,9,Wednesday
24P1800020,2024-05-22 14:07:00,FERN CT,004,14,Wednesday
24P1800021,2024-05-23 12:21:00,THURSTON LN,W074,12,Thursday
24P1800022,2024-05-23 14:51:00,SUNDANCE DR,W050,14,Thursday
24P1800023,2024-05-24 14:02:00,HAMMERSLEY RD,060,14,Friday
24P1800024,2024-05-24 14:10:00,HAMMERSLEY RD,W077,14,Friday
24P1800025,2024-05-24 14:27:00,PONTIAC TRL,W047,14,Friday
24P1800026,2024-05-28 08:54:00,DRAKE ST,048,8,Tuesday
24P1800027,2024-05-28 08:56:00,DRAKE ST,048,8,Tuesday
24P1800028,2024-05-28 09:10:00,SPRING ST,048,9,Tuesday
24P1800029,2024-05-28 09:15:00,SPRING ST,048,9,Tuesday
24P1800030,2024-05-28 09:17:00,SPRING ST,048,9,Tuesday
24P1800031,2024-05-28 09:22:00,SPRING ST,048,9,Tuesday
24P1800032,2024-05-28 09:29:00,SPRING ST,033,9,Tuesday
24P1800033,2024-05-28 09:34:00,SPRING ST,048,9,Tuesday
24P1800034,2024-05-28 09:36:00,SPRING ST,048,9,Tuesday
24P1800035,2024-05-28 09:49:00,MILTON ST,048,9,Tuesday
24P1800036,2024-05-28 09:57:00,MILTON ST,048,9,Tuesday
24P1800037,2024-05-28 10:46:00,LAKESIDE ST,048,10,Tuesday
24P1800038,2024-05-28 10:51:00,LAKESIDE ST,048,10,Tuesday
24P1800039,2024-05-28 10:56:00,LAKESIDE ST,048,10,Tuesday
24P1800040,2024-05-28 10:59:00,LAKESIDE ST,048,10,Tuesday
24P1800041,2024-05-28 11:03:00,LAKESIDE ST,048,11,Tuesday
24P1800042,2024-05-28 11:05:00,LAKESIDE ST,048,11,Tuesday
24P1800043,2024-05-28 11:17:00,LAKESIDE ST,048,11,Tuesday
24P1800044,2024-05-28 11:19:00,LAKESIDE ST,048,11,Tuesday
24P1800045,2024-05-28 11:54:00,EMERSON ST,048,11,Tuesday
24P1800046,2024-05-28 12:04:00,OLIN AVE,048,12,Tuesday
24P1800047,2024-05-28 12:14:00,VAN DEUSEN ST,048,12,Tuesday
24P1800048,2024-05-28 12:18:00,VAN DEUSEN ST,048,12,Tuesday
24P1800049,2024-05-28 12:38:00,BRAM ST,048,12,Tuesday
24P1800050,2024-05-28 12:56:00,ARDMORE DR,048,12,Tuesday
24P1800051,2024-05-28 14:19:00,BROOKS ST,Parking,14,Tuesday
24P1800052,2024-05-28 14:26:00,BROOKS ST,Parking,14,Tuesday
24P1800053,2024-05-28 14:41:00,BROOKS ST,Parking,14,Tuesday
24P1800054,2024-05-28 14:45:00,BROOKS ST,Parking,14,Tuesday
24P1800055,2024-05-28 14:52:00,BROOKS ST,Parking,14,Tuesday
24P1800056,2024-05-28 14:58:00,BROOKS ST,Parking,14,Tuesday
24P1800057,2024-05-28 15:07:00,FAHRENBROOK CT,Parking,15,Tuesday
24P1800058,2024-05-28 15:16:00,FAHRENBROOK CT,Parking,15,Tuesday
24P1800058,2024-05-28 15:16:00,FAHRENBROOK CT,Parking,15,Tuesday
24P1800059,2024-05-29 09:21:00,BROOKS ST,048,9,Wednesday
