fullStreetName,CoordList
Adobe Way,"[(-89.48960287055431, 43.00886241941675), (-89.49300106889093, 43.008857881809035)]"
Andrew Way,"[(-89.29089981798228, 43.09898926914071), (-89.29089244614691, 43.09915524534635), (-89.29089160533192, 43.0991774021326), (-89.29089004231449, 43.099199538288154), (-89.29088775957928, 43.0992216403144), (-89.29088475715045, 43.09924369650993), (-89.29088103751279, 43.099265693376125), (-89.29087660191877, 43.09928761921309), (-89.29087145285123, 43.09930946142208), (-89.29086559524951, 43.09933120740736), (-89.29085903036821, 43.09935284456884), (-89.2908517619184, 43.09937436030927), (-89.29084379483773, 43.0993957429329), (-89.29083513406366, 43.09941698074394), (-89.29082578330939, 43.099438060245056), (-89.2908157487389, 43.099458970641884), (-89.29080503652004, 43.099479699339966), (-89.29079365159053, 43.09950023464349), (-89.29078160011443, 43.09952056575823), (-89.2907688907183, 43.09954067919222), (-89.2907555295643, 43.099560565051306), (-89.29074152527521, 43.099580211643904), (-89.2907268840172, 43.09959960727555), (-89.29071161440918, 43.09961874205479), (-89.29069572753254, 43.09963760339271), (-89.29067922954974, 43.099656181395105), (-89.2906621315365, 43.09967446617322), (-89.29064444334207, 43.099692446937034), (-89.29062617358953, 43.09971011199485), (-89.29060733335086, 43.09972745325822), (-89.29058793493213, 43.09974445993978), (-89.29056798695267, 43.09976112214815), (-89.29054750171287, 43.099777431796234), (-89.29052649152085, 43.099793377196676), (-89.29036267062787, 43.099926677)]"
Andrew Way,"[(-89.29036267062787, 43.099926677), (-89.29002338507186, 43.10024504427081), (-89.29001275641944, 43.10025585569368), (-89.29000271304062, 43.100266963023984), (-89.28999326971243, 43.10027834917712), (-89.28998444243804, 43.10028999796986), (-89.2899762423134, 43.10030189051313), (-89.28996868411744, 43.100314008822046), (-89.28996177771579, 43.100326334906235), (-89.28995553420627, 43.10033884897639), (-89.28994996468307, 43.10035153304351), (-89.28994507533261, 43.10036436641247), (-89.28994087479435, 43.10037733019137), (-89.28993736925291, 43.10039040458511), (-89.28993456366463, 43.10040356979735), (-89.28993246298977, 43.10041680423155), (-89.28993107095258, 43.10043008988992), (-89.28993038882818, 43.10044340517172), (-89.28993041789002, 43.10045672937605), (-89.28993115818115, 43.10047004270083), (-89.28993260728984, 43.10048332444093), (-89.28993476526122, 43.10049655389409), (-89.28993762722297, 43.10050971215263), (-89.28994118953517, 43.10052277850987), (-89.28994544609905, 43.100535733156704), (-89.28995039082001, 43.100548554483446), (-89.28995601636512, 43.100561225379764)]"
Angel Crest Way,"[(-89.29962697071603, 43.07696261715333), (-89.2996272134146, 43.076957899073165), (-89.2996318711616, 43.076850479464795), (-89.29962496249574, 43.07656377573544), (-89.29962272683834, 43.07615893035762), (-89.29961954481011, 43.07564245943485), (-89.29961442237423, 43.0750430814687), (-89.29961238306377, 43.074423386006494), (-89.29961037206746, 43.074410369256555), (-89.29960767459087, 43.0743974192788), (-89.29960429427842, 43.07438455587944), (-89.29960023723196, 43.07437179796708), (-89.29959550832534, 43.07435916444909), (-89.29959011611417, 43.07434667513682), (-89.29958406792802, 43.07433434894017), (-89.29957737232785, 43.074322202970194), (-89.29957004032639, 43.07431025614071)]"
Angel Crest Way,"[(-89.29963270071228, 43.07784440555362), (-89.29962697071603, 43.07696261715333)]"
Apollo Way,"[(-89.28008623908457, 43.09017033951392), (-89.27933293442806, 43.090189198569576), (-89.27931033648207, 43.09018829636307), (-89.27928777887873, 43.090186945952055), (-89.27926528126848, 43.09018514736106), (-89.27924285715916, 43.090182901507205), (-89.27922052496683, 43.0901802111137), (-89.27919830065342, 43.09017707800078), (-89.27917620140894, 43.09017350399025)]"
Apollo Way,"[(-89.2800854417457, 43.0900870440562), (-89.27957208687444, 43.0900955019497), (-89.27953550960753, 43.09009600362729), (-89.27949892486286, 43.09009602282957), (-89.27946234737888, 43.09009555957494), (-89.27942578575116, 43.090094614774266), (-89.27938925472021, 43.090093187545804), (-89.27935276287953, 43.09009127970048), (-89.27931632496956, 43.090088890356746), (-89.27927995081404, 43.0900860204269), (-89.27924365391692, 43.09008267262822), (-89.27920744410606, 43.09007884607294), (-89.27917133488755, 43.09007454257825)]"
Apollo Way,"[(-89.2823233217659, 43.090451152636575), (-89.28197461628051, 43.0902362660709), (-89.28196003510283, 43.09022746861984), (-89.28194501702232, 43.090219074776954), (-89.28192958411651, 43.09021109717061), (-89.28191375601259, 43.09020354572569), (-89.2818975560201, 43.09019643127195), (-89.28188100499241, 43.09018976463593), (-89.28186412747536, 43.090183553048426), (-89.28184694555019, 43.09017780733756), (-89.28182948376482, 43.09017253383404), (-89.28181176666286, 43.090167740668754), (-89.28179381756402, 43.09016343417086), (-89.2817756622462, 43.0901596197725), (-89.28175732648317, 43.09015630470602), (-89.28173883483093, 43.090153491701784), (-89.28172021307138, 43.09015118439172), (-89.28170148698443, 43.09014938730796), (-89.2816826823541, 43.09014810318237), (-89.28166382497055, 43.090147332046634), (-89.28164494184588, 43.09014707663413), (-89.28099317221671, 43.090154755178304)]"
Apollo Way,"[(-89.28359476668135, 43.091796245896965), (-89.28359401681023, 43.091763321998414), (-89.28358582049891, 43.0914036011382), (-89.28358607587634, 43.09138892800157), (-89.2835856115477, 43.09137425849392), (-89.28358443115927, 43.09135960972145), (-89.28358253466702, 43.09134500148636), (-89.28357992448515, 43.09133045269366), (-89.28357660302775, 43.091315982248375), (-89.28357257762576, 43.09130160726117), (-89.28356784946101, 43.0912873484358), (-89.28356242832061, 43.09127322288586), (-89.28355631907701, 43.09125924861924), (-89.28354953028706, 43.09124544364824), (-89.28354206927945, 43.09123182598354), (-89.28353394706728, 43.09121841364047), (-89.28352517466773, 43.09120522283397), (-89.28351576186557, 43.091192271577846), (-89.28350572213624, 43.09117957518996), (-89.28349506772086, 43.091167151687024), (-89.28348381086663, 43.09115501638538), (-89.2834719687352, 43.09114318370724), (-89.28345955479777, 43.09113167077075), (-89.28344658621803, 43.09112049109798), (-89.28343307892948, 43.09110965910977), (-89.28341904886547, 43.09109918922675), (-89.28340451687406, 43.09108909497561), (-89.28338950011873, 43.09107938987849)]"
Apollo Way,"[(-89.28299576633005, 43.090883379166186), (-89.2823233217659, 43.090451152636575)]"
Apollo Way,"[(-89.27753629549282, 43.088860011619026), (-89.27636628975335, 43.08781168533036)]"
Apollo Way,"[(-89.27774062794425, 43.08904582020639), (-89.27774874794005, 43.08904069807589), (-89.27775639354458, 43.08903519820363), (-89.27776353154623, 43.08902934305033), (-89.27777013118323, 43.0890231577801), (-89.27777616414589, 43.08901666936036), (-89.2777816045786, 43.08900990566177), (-89.27778642907982, 43.08900289545811), (-89.27779061670226, 43.08899566842633), (-89.2777941514068, 43.08898825604986), (-89.27779701469595, 43.0889806907091), (-89.27779919790134, 43.08897300299652), (-89.27780068865985, 43.08896522800062), (-89.27780148198313, 43.08895739811872), (-89.27780157533705, 43.088949546651435), (-89.27780096618538, 43.08894170779935), (-89.27779965813444, 43.08893391487086), (-89.2777976572468, 43.08892620117727), (-89.27779497204118, 43.088918600033075), (-89.27779161349466, 43.08891114385569), (-89.27778759626851, 43.08890386506731), (-89.2777829362543, 43.08889679519132), (-89.27777765671836, 43.08888996306033), (-89.2777717772386, 43.088883399302475), (-89.27776532476776, 43.0888771318547)]"
Apollo Way,"[(-89.27917133488755, 43.09007454257825), (-89.27915199734397, 43.09007325017014), (-89.27913273465737, 43.09007145559585), (-89.2791135701562, 43.09006916158485), (-89.27909452962537, 43.09006637086969), (-89.279075635163, 43.09006308707857), (-89.27905691255188, 43.09005931384415), (-89.279038383886, 43.09005505659472), (-89.27902007248962, 43.09005031986012), (-89.27900200291093, 43.09004510997184), (-89.27898419601159, 43.09003943415692), (-89.27896667511158, 43.090033298745375), (-89.2789494622986, 43.090026711865896), (-89.27893257843205, 43.090019681645565), (-89.27891604682777, 43.09001221621468), (-89.27889988588248, 43.09000432639769), (-89.2788841176817, 43.08999602122336), (-89.2788687606222, 43.089987311516104), (-89.27885383555706, 43.08997820810336), (-89.27883935965481, 43.089968721808184), (-89.278825352534, 43.08995886615665), (-89.27796403190273, 43.089187580789904), (-89.27794966783254, 43.08917453642037), (-89.27793478107598, 43.089161810026134), (-89.27791938511479, 43.089149413325245), (-89.27790349343277, 43.089137357135776), (-89.2778871219701, 43.08912565227881), (-89.27787028175852, 43.08911430776907), (-89.27785299118996, 43.089103336231005), (-89.27783526252847, 43.08909274488064), (-89.27781711294416, 43.089082543640544), (-89.27779855837905, 43.08907274243175), (-89.27777961477928, 43.08906334937512), (-89.27776029931896, 43.089054372593075), (-89.27774062794425, 43.08904582020639)]"
Apollo Way,"[(-89.27917620140894, 43.09017350399025), (-89.27915254602678, 43.09017102885453), (-89.27912900611058, 43.090168017397836), (-89.27910560621923, 43.09016447145127), (-89.27908236722519, 43.090160393741264), (-89.27905931244874, 43.090155790597734), (-89.27903646399241, 43.09015066384871), (-89.27901384271824, 43.09014502072121), (-89.27899147195266, 43.09013886484491), (-89.27896937378554, 43.09013220344845), (-89.2789475666268, 43.09012504195562), (-89.27892607502244, 43.090117387598156), (-89.27890491737594, 43.09010924850013), (-89.27888411454894, 43.09010063188861), (-89.2788636874031, 43.09009154499083), (-89.27884365433547, 43.09008199863123), (-89.27882403497732, 43.09007200093545), (-89.27880485018596, 43.090061560930884), (-89.27878611590003, 43.09005069033901), (-89.27876785052044, 43.09003939818418), (-89.27875007366998, 43.09002769619245), (-89.27873280006308, 43.090015594283635), (-89.27871604809017, 43.0900031059825), (-89.27869983246133, 43.08999024300912), (-89.27868417034503, 43.08997701618637), (-89.27866907644508, 43.089963439934536), (-89.27865456424121, 43.08994952687226), (-89.27790182168384, 43.089251558096635), (-89.27788620179153, 43.089237238492586), (-89.27787108610649, 43.089222631489704), (-89.27785648320412, 43.089207746099966), (-89.2778424041118, 43.08919259313877), (-89.27782885740713, 43.08917718071803), (-89.27781585165906, 43.08916152054996), (-89.27780339544083, 43.08914562254673), (-89.27779149609758, 43.089129496618945), (-89.27778016343053, 43.08911315268023), (-89.27776940355244, 43.08909660243975), (-89.27775922258017, 43.08907985580658), (-89.27774962908049, 43.089062925392994), (-89.27774062794425, 43.08904582020639)]"
